车型名称,品牌,上市/发布时间,价格区间,车型定位,车身尺寸,轴距,动力类型,系统功率,0-100km/h,电池容量,CLTC续航,智驾芯片,激光雷达,计算力TOPS,座舱芯片,屏幕配置,核心亮点1,核心亮点2,核心亮点3,核心亮点4,核心亮点5,竞品1,竞品2,竞品3,信息来源
长安马自达EZ-60马年版(增程200),长安马自达,2026-04-21,13.99万,合资新能源中型SUV,4780×1890×1630mm,2900mm,增程,未公布,未公布,未公布,—,未公布,无,未公布,4nm车规级芯片,26.45英寸大屏,100英寸裸眼3D HUD,4nm芯片,9安全气囊,86.5%高强钢笼式车身,梁家辉代言,马自达EZ-6,深蓝S7,宋Pro DM-i,懂车帝/汽车之家
长安马自达EZ-60马年版(纯电600),长安马自达,2026-04-21,14.59万,合资新能源中型SUV,4780×1890×1630mm,2900mm,纯电,未公布,未公布,未公布,600km,未公布,无,未公布,4nm车规级芯片,26.45英寸大屏,100英寸裸眼3D HUD,4nm芯片,9安全气囊,86.5%高强钢笼式车身,梁家辉代言,马自达EZ-6,深蓝S7,宋Pro EV,懂车帝/汽车之家
尚界Z7,鸿蒙智行·尚界,2026-04-22,21.98-29.98万,中大型纯电轿跑,约4900×1950×1450mm,约2950mm,纯电,约300kW(MAX+版),约3.9秒,约100kWh,905km,华为昇腾/乾崑ADS4.1,896线双光路图像级激光雷达,未公布,华为麒麟/鸿蒙座舱,未公布,华为ADS4.1智驾,896线激光雷达,零重力座椅,905km超长续航,肖战代言,小米SU7,极氪007,特斯拉Model 3,懂车帝/汽车之家
尚界Z7T,鸿蒙智行·尚界,2026-04-22,22.98万起,中大型纯电猎装,约4900×1950×1480mm,约2950mm,纯电,约300kW(MAX+版),约3.9秒,约100kWh,约900km,华为昇腾/乾崑ADS4.1,896线双光路图像级激光雷达,未公布,华为麒麟/鸿蒙座舱,未公布,华为ADS4.1智驾,896线激光雷达,华为途灵平台,猎装大空间,华为首款猎装,极氪001,小米SU7,特斯拉Model S,懂车帝/汽车之家
问界M6,鸿蒙智行·问界,2026-04-22,25.98-29.98万,中大型五座SUV,4960×1985×1736mm,2950mm,增程+纯电双动力,未公布,未公布,未公布,未公布,华为乾崑ADS4高阶版,896线双光路图像级激光雷达,未公布,华为麒麟/鸿蒙座舱,未公布,896线激光雷达,标配空悬,21扬声器HUAWEI SOUND音响,零重力座椅,入门即满配,理想L6,领克08 EM-P,小鹏G6,懂车帝/汽车之家
智界V9,鸿蒙智行·智界,2026-04-22(预售),39.98-52.98万,旗舰MPV,约5200×2000×1850mm,约3200mm,纯电,约400kW,未公布,约120kWh,约800km,华为乾崑ADS4,896线激光雷达,未公布,华为麒麟/鸿蒙座舱,未公布,华为9系MPV定制平台,全系后轮转向,旋转零重力座椅,百变空间,MPV中的MVP,极氪009,腾势D9 EV,岚图梦想家EV,懂车帝/汽车之家
问界M9标准版,鸿蒙智行·问界,2026-04-22(预售),49.98万起,全尺寸旗舰SUV,约5200×2000×1850mm,约3050mm,增程+纯电,未公布,未公布,未公布,未公布,华为乾崑ADS4高阶版,6颗激光雷达,未公布,华为麒麟/鸿蒙座舱,未公布,八大引领进化,6颗激光雷达,标配云辇智能悬架,豪华座舱,50万级销量冠军,理想L9,宝马X7,奔驰GLS,懂车帝/汽车之家
问界M9 Ultimate领世加长版,鸿蒙智行·问界,2026-04-22(预售),66.98万起,全尺寸加长旗舰SUV,5402×2026×1845mm,3236mm,增程+纯电,未公布,未公布,未公布,未公布,华为乾崑ADS4高阶版,6颗激光雷达,未公布,华为麒麟/鸿蒙座舱,未公布,领世加长版专属,3236mm超长轴距,六座超豪华布局,超豪华旗舰天花板,超豪华旗舰,BBA旗舰燃油SUV,迈巴赫GLS,理想L9顶配,懂车帝/汽车之家
比亚迪大唐EV后驱800km,比亚迪,2026-04-24(预售),25万起,D级全尺寸七座SUV,5263×1999×1790mm,3130mm,纯电,未公布,未公布,约100kWh,800km,比亚迪天神之眼高阶智驾,有(数量未公布),未公布,比亚迪自研,未公布,1000V架构,第二代刀片电池,950km续航,兆瓦级闪充5分钟400km,天神之眼智驾,理想L8,理想L9,问界M9,懂车帝/汽车之家
比亚迪大唐EV后驱950km,比亚迪,2026-04-24(预售),约28万,D级全尺寸七座SUV,5263×1999×1790mm,3130mm,纯电,未公布,未公布,约120kWh,950km,比亚迪天神之眼高阶智驾,有(数量未公布),未公布,比亚迪自研,未公布,1000V架构,第二代刀片电池,950km超长续航,兆瓦级闪充,天神之眼智驾,理想L8,理想L9,问界M9,懂车帝/汽车之家
