车型名称,品牌,上市/发布时间,价格区间,车型定位,车身尺寸,轴距,动力类型,系统功率,0-100km/h,电池容量,CLTC续航,智驾芯片,激光雷达,计算力TOPS,座舱芯片,屏幕配置,核心亮点1,核心亮点2,核心亮点3,核心亮点4,核心亮点5,竞品1,竞品2,竞品3,信息来源

小鹏GX（纯电四驱版）,小鹏汽车,2026-04-15发布,预售39.98万元,全尺寸旗舰智能SUV大六座L4级,5265x1999x1800mm,3115mm,纯电四驱800V+5C超充,未公布,N/A,未公布800V5C超充,750kmCLTC,第二代VLA视觉语言行动系统+3000TOPS有效算力平台,含激光雷达等感知硬件,3000TOPS,SEPA3.0架构,21.4英寸3K高清护眼屏,国内首款L4级标准正向开发前装量产旗舰SUV,全系线控底盘+720度五重碰撞防护,纯电CLTC750km800V5C超充10分钟补能500km,全球首发AI调光隐私玻璃0.16秒变色,第二代VLA跨域协同AI数字投影大灯,理想L9,腾势N9,问界M9增程版,https://auto.cctv.com/2026/04/16/ARTIugdP67IwrTyUdlj1C7GQ260416.shtml

小鹏GX（超级增程版）,小鹏汽车,2026-04-15发布,预售39.98万元,全尺寸旗舰智能SUV大六座L4级,5265x1999x1800mm,3115mm,超级增程混动,未公布,N/A,未公布,纯电430km综合1585kmCLTC,第二代VLA视觉语言行动系统+3000TOPS有效算力平台,含激光雷达等感知硬件,3000TOPS,SEPA3.0架构,21.4英寸3K高清护眼屏,国内首款L4级标准正向开发前装量产旗舰SUV,全系线控底盘+720度五重碰撞防护,增程版综合续航1585km摆脱里程焦虑,全球首发AI调光隐私玻璃0.16秒变色,第二代VLA跨域协同AI数字投影大灯,理想L9,腾势N9,问界M9增程版,https://auto.cctv.com/2026/04/16/ARTIugdP67IwrTyUdlj1C7GQ260416.shtml

零跑D19（增程版）,零跑汽车,2026-04-16上市,21.98-26.98万元,科技豪华旗舰大型SUV六座七座,5252x1995x1780mm,3110mm,增程+电驱四驱800V平台,未公布,约4秒级,80.3kWh宁德时代LFP,500km纯电CLTC,双高通骁龙8797VLA大模型,含激光雷达,1280TOPS,高通骁龙8797双芯,沉浸式大屏,全球首发双高通8797座舱1280TOPS算力同级最高,增程CTC电池底盘一体化首发技术,21.98万起颠覆大型SUV价格门槛,VLA大模型城市NOA覆盖44项智驾功能,800V高压快充30%-80%约15分钟,理想L9,问界M9,蔚来ES8,https://auto.cctv.com/2026/04/17/ARTIgRSX2iTyblw1Ben0UrQ9260417.shtml

零跑D19（纯电版）,零跑汽车,2026-04-16上市,21.98-26.98万元,科技豪华旗舰大型SUV六座七座,5252x1995x1780mm,3110mm,纯电三电机1000V平台,540kW,约3秒级,115kWh宁德时代超混电芯,720km+CLTC,双高通骁龙8797VLA大模型,含激光雷达,1280TOPS,高通骁龙8797双芯,沉浸式大屏,全球首发双高通8797座舱1280TOPS算力同级最高,1000V高压架构15分钟补能超350km,21.98万起颠覆大型SUV价格门槛,VLA大模型城市NOA覆盖44项智驾功能,115kWh超大电池CLTC续航720km+,理想L9,问界M9,蔚来ES8,https://auto.cctv.com/2026/04/17/ARTIgRSX2iTyblw1Ben0UrQ9260417.shtml

智己LS8,智己汽车,2026-04-16上市,24.98-29.98万元,跨时代科技旗舰中大型SUV五座六座,5085x2000x1807mm,3060mm,1.5T恒星超级增程+双电机四驱,390kW四驱版,约4秒级,未公布800V平台,430km纯电CLTC综合1605km,英伟达Thor芯片,520线超视域激光雷达,700TOPS,IMUltraAgent千问大模型,27.1英寸双联屏+21.5英寸后排吸顶屏,灵蜥数字底盘3.0闭式空悬+后轮转向转弯半径4.85m,24.98万起将线控转向/空悬/高阶智驾带入30万以内,IMUltraAgent首发具备思考规划能力,BO25扬声器豪华音响+12.3L冰箱+地暖,上市45分钟小订破万台,理想L8,全新问界M7,零跑D19,https://www.autohome.com.cn/advice/202604/1313656.html

极氪8X（Max版）,极氪,2026-04-17上市,限时权益32.98-39.98万元官方35.68-42.68万,高性能豪华中大型插电混动SUV,5100x1998x1780mm,3069mm,2.0T插混+双电机四驱900V,660kW,3.7秒,未公布900V6C超充,320-410kmCLTC综合最长1416km,双NVIDIADRIVEThor-U,5颗激光雷达,1400TOPS,17英寸3KOLED后排吸顶屏+情景振动香氛,17英寸3KOLED吸顶屏,Naim殿堂级29扬声器3868W音响,1400TOPS+5颗激光雷达同级最强智驾G-ASD4.0,浩瀚AI数字底盘闭式双腔空悬+双阀CDC+48V主动稳定杆,29分钟大定突破10000台爆款验证,腾势N9,全新问界M7高配版,理想L8Ultra版,https://www.autohome.com.cn/news/202604/1313682.html

极氪8X（曜影三电机版）,极氪,2026-04-17上市,限时权益47.38万元官方50.08万,高性能豪华中大型插电混动SUV旗舰,5108x2026x1780mm,3069mm,2.0T插混+三电机900V,1030kW,2.96秒,未公布900V6C超充,330kmCLTC综合最长1416km,双NVIDIADRIVEThor-U,5颗激光雷达,1400TOPS,17英寸3KOLED后排吸顶屏+情景振动香氛,17英寸3KOLED吸顶屏,三电机1030kW综合功率0-100km-h仅2.96秒,1400TOPS+5颗激光雷达同级最强智驾G-ASD4.0,Naim殿堂级29扬声器3868W音响7.1.4.8声场,浩瀚AI数字底盘+13种全地形驾驶模式+涉水500mm,独特曜影版宽体外观WideBody设计,腾势N9,理想L8Ultra版,问界M9Ultra,https://www.autohome.com.cn/news/202604/1313682.html
